titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q3 45Tfsi 2020 Quattro Sua,"27 990 €
Prețul e negociabil",27990.0,2020,52 000,N/A,https://www.olx.ro/d/oferta/audi-q3-45tfsi-2020-quattro-sua-IDiX5A3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1qrid7m6olk6-RO/image;s=1000x903;https://frankfurt.apollo.olxcdn.com:443/v1/files/ipc6fuua296k-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vq1hmsxq974s1-RO/image;s=799x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/7s0r2qi2p8cn-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ii5kemruwkug1-RO/image;s=1000x750,petrol,automatic,SUV,Audi,Q3,olx_iX5A3,2025-09-11T07:36:04.746051
Audi A7 50Tdi Sportback Quattro,32 000 €,32000.0,2018,180 800,N/A,https://www.olx.ro/d/oferta/audi-a7-50tdi-sportback-quattro-IDjngrz.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/o8w4oih1zoyg-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/u6d3f1hos7jc-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/fikkuxi99c2n1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/n66g3pzsixyi1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2zo7z1kr9pj73-RO/image;s=750x1000,diesel,automatic,Coupe,Audi,A7,olx_jngrz,2025-09-11T07:36:09.810859
Vand Audi A6 2021 2 0 Diesel 204 Cp Foarte Bine Dotat,27 800 €,27800.0,2021,172 000,N/A,https://www.olx.ro/d/oferta/vand-audi-a6-2021-2-0-diesel-204-cp-foarte-bine-dotat-IDjNgX3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/j98e35hsftqs-RO/image;s=1000x714;https://frankfurt.apollo.olxcdn.com:443/v1/files/jx7192pzxq7y-RO/image;s=1000x685;https://frankfurt.apollo.olxcdn.com:443/v1/files/ew7em1zibgb72-RO/image;s=1000x562;https://frankfurt.apollo.olxcdn.com:443/v1/files/jq1zmnc583ih2-RO/image;s=1000x601;https://frankfurt.apollo.olxcdn.com:443/v1/files/6v2eyxotu9fn-RO/image;s=1000x765,diesel,automatic,Berlina,Audi,A6,olx_jNgX3,2025-09-11T07:36:13.804968
Audi Q5 2017 2 0 Tfsi,"25 000 €
Prețul e negociabil",25000.0,2017,140 000,N/A,https://www.olx.ro/d/oferta/audi-q5-2017-2-0-tfsi-IDjJ2F5.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/k5xace73bu5h2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mluqke5cbb0y-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n9q1hz7g6ete2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yw9v6atrq8n-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/bsnvjcyxp6pt3-RO/image;s=750x1000,petrol,automatic,SUV,Audi,Q5,olx_jJ2F5,2025-09-11T07:36:17.895144
Audi Q8 3 0 55 Tfsi Quattro S Line Mildhybrid 335 Cp,49 900 €,49900.0,2019,76 000,N/A,https://www.olx.ro/d/oferta/audi-q8-3-0-55-tfsi-quattro-s-line-mildhybrid-335-cp-IDjEkX0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/b7d0blwr2ck81-RO/image;s=1024x684;https://frankfurt.apollo.olxcdn.com:443/v1/files/rgsngmrkrzf31-RO/image;s=1024x683;https://frankfurt.apollo.olxcdn.com:443/v1/files/ie87nn5j9aps3-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/szuqeslnztpj-RO/image;s=2160x3840;https://frankfurt.apollo.olxcdn.com:443/v1/files/1blyqb2zkzh53-RO/image;s=2160x3840,petrol,automatic,SUV,Audi,Q8,olx_jEkX0,2025-09-11T07:36:22.243386
Vand Audi Q7 Masina E Full,37 500 €,37500.0,2017,157 000,N/A,https://www.olx.ro/d/oferta/vand-audi-q7-masina-e-full-IDjM9EO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/aoduhcqbh5zl2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/k3tiktuq86ex1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/jcdlwgp05asn1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/w3ju7cbnna0r1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/w7kwuxdnhdam-RO/image;s=1000x750,diesel,automatic,SUV,Audi,Q7,olx_jM9EO,2025-09-11T07:37:10.267718
Audi Q7 5 0 Tdi Quattro Sline Mild Hibrid,"49 900 €
Prețul e negociabil",49900.0,2020,95 300,N/A,https://www.olx.ro/d/oferta/audi-q7-5-0-tdi-quattro-sline-mild-hibrid-IDjMX87.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/10k06qwgas7k-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/gye505xa6nh7-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6uj9zdjdzal83-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/xnptuyjbno2w2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9gk71acq03o43-RO/image;s=1000x750,hybrid,automatic,SUV,Audi,Q7,olx_jMX87,2025-09-11T07:37:14.619801
Audi A5 2021 163Cp Tva Deductibil,"28 000 €
Prețul e negociabil",28000.0,2021,97 000,N/A,https://www.olx.ro/d/oferta/audi-a5-2021-163cp-tva-deductibil-IDjM8SN.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ulv8dayp747p2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/d7pc5h3svy432-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xc2ihjcx9r903-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ts710kp94q962-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/0wvy202b8gk4-RO/image;s=750x1000,diesel,automatic,Berlina,Audi,A5,olx_jM8SN,2025-09-11T07:37:41.422804
Bmw X3 2 0D 2022 Xdrive Hybrid Ca Nou,29 400 €,29400.0,2022,75 300,N/A,https://www.olx.ro/d/oferta/bmw-x3-2-0d-2022-xdrive-hybrid-ca-nou-IDjMtRy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ugdi18a7ilok-RO/image;s=1130x1020;https://frankfurt.apollo.olxcdn.com:443/v1/files/1t4gap1ruqzp-RO/image;s=1372x856;https://frankfurt.apollo.olxcdn.com:443/v1/files/55ro5qpbpuxh-RO/image;s=1856x820;https://frankfurt.apollo.olxcdn.com:443/v1/files/w3zvbp6ifp7w1-RO/image;s=1921x826;https://frankfurt.apollo.olxcdn.com:443/v1/files/59yvf2ljere72-RO/image;s=1095x912,hybrid,automatic,SUV,BMW,X3,olx_jMtRy,2025-09-11T07:38:26.939389
Bmw X5 F15 2 0 Biturbo 7 Locuri,21 000 €,21000.0,2017,182 000,N/A,https://www.olx.ro/d/oferta/bmw-x5-f15-2-0-biturbo-7-locuri-IDjKpuB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vd2mufungvu01-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/n635eebj47zn-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/9iax72pyrt3g-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/3e0ssdj7is8o-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/au3tys2wlmro-RO/image;s=2000x924,diesel,automatic,SUV,BMW,X5,olx_jKpuB,2025-09-11T07:38:31.082502
