titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A6 4000 Tdi,26 900 €,26900.0,4000,145 000,Unknown,https://www.olx.ro/d/oferta/audi-a6-4000-tdi-IDj5wf0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/0cnor1treafh3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9dss5k5z3wer3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/bfypnl3dvzg91-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/lkgkkpa78q481-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/42nsrw66xprm-RO/image;s=1000x750,N/A,automatic,Berlina,Audi,A6,olx_j5wf0,2025-09-14T19:25:01.617237
Audi A6 2 0 Tdi Myld Hibrid,28 600 €,28600.0,2019,123 000,Unknown,https://www.olx.ro/d/oferta/audi-a6-2-0-tdi-myld-hibrid-IDjGwTh.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/f2ttt77874jz2-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/oyc4cjou949y2-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/mbtyxmkj55x02-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/b5tog73xzusx-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/skm3lp27by5d2-RO/image;s=1020x765,diesel,automatic,Berlina,Audi,A6,olx_jGwTh,2025-09-14T19:25:25.195901
Audi A5 2021 Quattro 204Cp Matrix Laser,27 500 €,27500.0,2021,161 445,Unknown,https://www.olx.ro/d/oferta/audi-a5-2021-quattro-204cp-matrix-laser-IDjDdkt.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/njvlbwlng4ua3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ttvvgw66gx692-RO/image;s=900x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/0jzz2fypfprf-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/dz5q5v2xmeol3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/286upr4l8zz2-RO/image;s=1200x1600,electric,automatic,Berlina,Audi,A5,olx_jDdkt,2025-09-14T19:25:28.830497
Audi Sq8 4 0 V8 Tfsi 620Cp 2021,"60 000 €
Prețul e negociabil",60000.0,2021,60100,Unknown,https://www.olx.ro/d/oferta/audi-sq8-4-0-v8-tfsi-620cp-2021-IDjF0Vd.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7l060xorotoh3-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/3w6zzn7ah3n23-RO/image;s=2000x1376;https://frankfurt.apollo.olxcdn.com:443/v1/files/v7yp9adkb6f51-RO/image;s=2000x1317;https://frankfurt.apollo.olxcdn.com:443/v1/files/iqkhxu2tfyow2-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/xafelvfukrfc-RO/image;s=2000x1333,petrol,N/A,SUV,Audi,Q8,olx_jF0Vd,2025-09-14T19:25:45.914493
Audi A7 5 0 Tdi Mild Hybrid,"36 990 €
Prețul e negociabil",36990.0,2019,200 000,Unknown,https://www.olx.ro/d/oferta/audi-a7-5-0-tdi-mild-hybrid-IDjKKXZ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vw1fn1ivpnga1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/rzqxafgx20fc2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/w7rosbnnnwht2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mhj2m7dp386d-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/83raglepm1yt1-RO/image;s=750x1000,diesel,automatic,"//schema.org/UsedCondition""}}",Audi,A7,olx_jKKXZ,2025-09-14T19:26:36.389456
Audi Sq5 354 Cp Webasto Head Up Variante,24 500 €,24500.0,1038,185 000,Unknown,https://www.olx.ro/d/oferta/audi-sq5-354-cp-webasto-head-up-variante-IDjNRr3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/d3kg10387057-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/0oewwyibzdu9-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/l928vt0ktbjx1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/j7fzbcgfwqw3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/yppfav3dn27a-RO/image;s=1000x750,petrol,N/A,SUV,Audi,Q5,olx_jNRr3,2025-09-14T19:26:40.939264
Sq5 3 0 Tdi 347 Cp Mild Hybrid 2020 4,"29 500 €
Prețul e negociabil",29500.0,2020,167 000,Unknown,https://www.olx.ro/d/oferta/sq5-3-0-tdi-347-cp-mild-hybrid-2020-4-IDjKshi.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xagqr3l224l82-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/fonppwpswbhu-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/mv3i4ghe1cek1-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/xjl4uuzci01s1-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/pbcb5x8vbbmb2-RO/image;s=1000x667,diesel,automatic,SUV,Unknown,Unknown,olx_jKshi,2025-09-14T19:26:48.901204
Audi Q8 3 0 55 Tfsi Quattro S Line Mildhybrid 335 Cp,49 900 €,49900.0,2019,76 000,Unknown,https://www.olx.ro/d/oferta/audi-q8-3-0-55-tfsi-quattro-s-line-mildhybrid-335-cp-IDjEkX0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/b7d0blwr2ck81-RO/image;s=1024x684;https://frankfurt.apollo.olxcdn.com:443/v1/files/rgsngmrkrzf31-RO/image;s=1024x683;https://frankfurt.apollo.olxcdn.com:443/v1/files/ie87nn5j9aps3-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/szuqeslnztpj-RO/image;s=2160x3840;https://frankfurt.apollo.olxcdn.com:443/v1/files/1blyqb2zkzh53-RO/image;s=2160x3840,petrol,automatic,SUV,Audi,Q8,olx_jEkX0,2025-09-14T19:26:52.777087
Bmw 530 Xd Mild Hybrid 286 Cp,37 500 €,37500.0,2020,137 000,Unknown,https://www.olx.ro/d/oferta/bmw-530-xd-mild-hybrid-286-cp-IDjsS9i.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/07x76uoir1152-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/k1or10mbfgyd-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/e7wo5lrvlqe11-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/meezxua6y3qd-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/78855vcxm6i23-RO/image;s=1000x664,diesel,automatic,Berlina,BMW,Unknown,olx_jsS9i,2025-09-14T19:27:39.344794
Bmw X5 F15 2 0 Biturbo 7 Locuri,21 000 €,21000.0,2017,182 000,Unknown,https://www.olx.ro/d/oferta/bmw-x5-f15-2-0-biturbo-7-locuri-IDjKpuB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vd2mufungvu01-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/n635eebj47zn-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/9iax72pyrt3g-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/3e0ssdj7is8o-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/au3tys2wlmro-RO/image;s=2000x924,diesel,automatic,SUV,BMW,X5,olx_jKpuB,2025-09-14T19:27:42.637611
740Ld 2022 Prima Inmatriculare Mild Hibrid In Garantie,"65 000 €
Prețul e negociabil",65000.0,2021,103 700,Unknown,https://www.olx.ro/d/oferta/740ld-2022-prima-inmatriculare-mild-hibrid-in-garantie-IDjNY0p.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/tdxsxw8l58z42-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/uw6ojue5jtj21-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j0519r59lyef1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/i35a5tmt1rky-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yzb4c6y7prqo2-RO/image;s=1500x2000,hybrid,automatic,Berlina,Unknown,Unknown,olx_jNY0p,2025-09-14T19:27:46.486012
Bmw 320D M Pack G20 Lci Facelift Mhev Black Sapphire,32 990 €,32990.0,2022,144 000,Unknown,https://www.olx.ro/d/oferta/bmw-320d-m-pack-g20-lci-facelift-mhev-black-sapphire-IDjJrMo.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/oxvigohv611v2-RO/image;s=723x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/uu9kot4hokav1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/sow2zl2x7r4h1-RO/image;s=749x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/rdg7tzc6w9t6-RO/image;s=702x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/olyfseybo4o73-RO/image;s=645x1000,diesel,automatic,Berlina,BMW,Unknown,olx_jJrMo,2025-09-14T19:27:51.129800
