titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q5 Quattro Variante,"19 000 €
Prețul e negociabil",19000.0,2017,190 000,Unknown,https://www.olx.ro/d/oferta/audi-q5-quattro-variante-IDjpFcc.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/br2ugnw6jqk03-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/cpu62nu3htc03-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/tl56abl7jwoh-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4l4sab4382mu-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/7yon9vi9fehp3-RO/image;s=1500x2000,diesel,automatic,SUV,Audi,Q5,olx_jpFcc,2025-09-14T15:35:23.732142
Audi A4 An Fabricatie 2019 Luna Octombrie,"19 500 €
Prețul e negociabil",19500.0,2019,172 000,Unknown,https://www.olx.ro/d/oferta/audi-a4-an-fabricatie-2019-luna-octombrie-IDgI2OJ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ggapnf0mbned-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2p5ng5h8j3ff1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/sq9v281pyw882-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/d4wa0cdhhmnn-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/1umni40b3muu2-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A4,olx_gI2OJ,2025-09-14T15:35:32.952792
2 0 Tdi S Tronic Design,"18 850 €
Prețul e negociabil",18850.0,2017,187 098,Unknown,https://www.olx.ro/d/oferta/2-0-tdi-s-tronic-design-IDjI4Tx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/lnbzbi7x3hmm2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/d9m9sbdgfufl2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/i2kg8jmodmnk-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/qcs70oojha7e-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ot3l879qwkc7-RO/image;s=750x1000,diesel,automatic,Berlina,Unknown,Unknown,olx_jI4Tx,2025-09-14T15:35:47.179131
Audi A5 Motor 2 0 Tractiune Quattro,24 900 €,24900.0,2019,120 000,Unknown,https://www.olx.ro/d/oferta/audi-a5-motor-2-0-tractiune-quattro-IDjHzqv.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/33wv1a7pgq2h3-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/836er6jzcm193-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/xx6xjdms6gr-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/w6nzjh8vz9ww2-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/okz27ugm55252-RO/image;s=1536x2048,diesel,automatic,Hatchback,Audi,A5,olx_jHzqv,2025-09-14T15:35:51.903246
Audi A7 Sportback An 2017 3 0 Quatrro Automat 17 000,17 000 €,17000.0,2017,197 000,Unknown,https://www.olx.ro/d/oferta/audi-a7-sportback-an-2017-3-0-quatrro-automat-17-000-IDjIy0z.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/zcq98fm9sriq3-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/57zr807xkmo11-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/rn3pcdppnhm82-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/e019keythncj3-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/a7jlu4l37aez2-RO/image;s=563x1000,diesel,automatic,Coupe,Audi,A7,olx_jIy0z,2025-09-14T15:36:04.300259
Audi Q5 2 0 T 252 Cp,29 500 €,29500.0,2018,110 400,Unknown,https://www.olx.ro/d/oferta/audi-q5-2-0-t-252-cp-IDjOc2m.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2n7n7if4uxd72-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/wrpafp6g5bzb-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/9fhjm06crm64-RO/image;s=1008x756;https://frankfurt.apollo.olxcdn.com:443/v1/files/bdwhgmt0blb53-RO/image;s=1008x756;https://frankfurt.apollo.olxcdn.com:443/v1/files/7vuqk782f1ps1-RO/image;s=1008x756,petrol,automatic,SUV,Audi,Q5,olx_jOc2m,2025-09-14T15:36:08.794354
Audi A6 Mild Hybrid Masaj Racire Panoramic,30 100 €,30100.0,2021,102 500,Unknown,https://www.olx.ro/d/oferta/audi-a6-mild-hybrid-masaj-racire-panoramic-IDjOcxB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/datewi5ue1l81-RO/image;s=1000x726;https://frankfurt.apollo.olxcdn.com:443/v1/files/qhmva64g1bod-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yfl9gqve3idb2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/jutxpjd63yww1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/05zzhgmf0gjv1-RO/image;s=750x1000,diesel,automatic,Hatchback,Audi,A6,olx_jOcxB,2025-09-14T15:36:20.524619
Audi A7 3 0 Quattro Cometition Matrix Trapa Etc,35 400 €,35400.0,2018,102 000,Unknown,https://www.olx.ro/d/oferta/audi-a7-3-0-quattro-cometition-matrix-trapa-etc-IDjD78H.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1ut6hkt7fxtz-RO/image;s=828x612;https://frankfurt.apollo.olxcdn.com:443/v1/files/58x3p1lf13hr3-RO/image;s=807x1063;https://frankfurt.apollo.olxcdn.com:443/v1/files/qnxwzkdtigqu3-RO/image;s=828x1081;https://frankfurt.apollo.olxcdn.com:443/v1/files/qujoiyw8tiyu3-RO/image;s=828x623;https://frankfurt.apollo.olxcdn.com:443/v1/files/wsq1v3bdrxis-RO/image;s=828x607,diesel,automatic,Coupe,Audi,A7,olx_jD78H,2025-09-14T15:36:44.315689
Audi Q2 35Tfsi 150Cp,22 500 €,22500.0,2023,14 000,Unknown,https://www.olx.ro/d/oferta/audi-q2-35tfsi-150cp-IDjN2Gr.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/jgrx3l3zzdl02-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/aci8mf5bil4c2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/y6l6rd5kcln73-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9itw1u5326nz2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/40b976pk0bmn3-RO/image;s=1000x750,petrol,automatic,Hatchback,Audi,Q2,olx_jN2Gr,2025-09-14T15:36:48.296527
Audi A4 2018 Ireprosabila,21 990 €,21990.0,2018,95 000,Unknown,https://www.olx.ro/d/oferta/audi-a4-2018-ireprosabila-IDjO9KV.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/zw8whnbv3n4u2-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/w1enqa18a8z91-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/sh25too9s2e32-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/q2rtucxx0wl3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ij5lxvk88mqa2-RO/image;s=1200x1600,diesel,automatic,Berlina,Audi,A4,olx_jO9KV,2025-09-14T15:37:02.545591
