titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 2 0Tdi 150Cp 2017,15 000 €,15000.0,2017,169 000,N/A,https://www.olx.ro/d/oferta/audi-a4-2-0tdi-150cp-2017-IDjA03a.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/s8a27vpq49291-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/d8oyzkte11bi3-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/gxny3hnd1xy13-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/k310xc5uumqn3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/w5avaofwkgpr2-RO/image;s=1000x750,diesel,manual,Berlina,Audi,A4,olx_jA03a,2025-09-08T12:41:33.427497
Audi A6 Avant Quattro S Line Sport Matrix2 0 Tdi Avant Spor,33 900 €,33900.0,2021,86 000,N/A,https://www.olx.ro/d/oferta/audi-a6-avant-quattro-s-line-sport-matrix2-0-tdi-avant-spor-IDjqCUg.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/e6q0s71aosl-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/kmalssly27d73-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/pmjphrjc23071-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/rq1y7y39emby2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/bttrzl01e0ji1-RO/image;s=2000x1500,diesel,automatic,Break,Audi,A6,olx_jqCUg,2025-09-08T12:41:37.753850
Audi A4 B9 2 0 Tfsi S Line Ultra 190 Cp Mild Hybrid 2018,"22 500 €
Prețul e negociabil",22500.0,2018,150 000,N/A,https://www.olx.ro/d/oferta/audi-a4-b9-2-0-tfsi-s-line-ultra-190-cp-mild-hybrid-2018-IDjMKzw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ng2a5nawgsyi1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nv0e0swstr47-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/a1m5ni1q6wy61-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/fttxapscsyrx2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/u8rxd7nwny2p3-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,90,olx_jMKzw,2025-09-08T12:41:40.780258
Audi A4 Quatrro Hybrid S Line 2 0 Tdi 204 Ph Carte Service,"21 500 €
Prețul e negociabil",21500.0,N/A,N/A,N/A,https://www.olx.ro/d/oferta/audi-a4-quatrro-hybrid-s-line-2-0-tdi-204-ph-carte-service-IDjMJZv.html,,N/A,N/A,N/A,Audi,A4,olx_jMJZv,2025-09-08T12:41:44.429696
Audi Q5 35 Tdi Stronic Trapa Bixenon,20 990 €,20990.0,2018,191 200,N/A,https://www.olx.ro/d/oferta/audi-q5-35-tdi-stronic-trapa-bixenon-IDjGAt9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/x5y9cf8qq9q22-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8jpgkxlhkkar1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/43vd0ppgh2i03-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/f1sf90srmjmx2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/myx4hb2m5c922-RO/image;s=1000x750,diesel,automatic,SUV,Audi,Q5,olx_jGAt9,2025-09-08T12:41:47.877567
Audi A7 5 0 Tdi 286 Cp Mild Hibrid,34 000 €,34000.0,2019,185 000,N/A,https://www.olx.ro/d/oferta/audi-a7-5-0-tdi-286-cp-mild-hibrid-IDjJ8pB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/67aabvv0qzm33-RO/image;s=806x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/fl1lxkp9s1102-RO/image;s=795x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5xhss70jlqkw2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8ba3rmiz1ji73-RO/image;s=782x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/hbep6rp0m7cn-RO/image;s=750x1000,diesel,automatic,Berlina,Audi,A7,olx_jJ8pB,2025-09-08T12:41:51.804167
Vand Bmw I8 Plug In Hybrid,58 900 €,58900.0,2017,128 000,N/A,https://www.olx.ro/d/oferta/vand-bmw-i8-plug-in-hybrid-IDjuekF.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3tq92h8ab1fi1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wfbeq7pvq09a-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2higg5s8tqyw2-RO/image;s=1000x806;https://frankfurt.apollo.olxcdn.com:443/v1/files/8ecw30t5m87-RO/image;s=1000x883;https://frankfurt.apollo.olxcdn.com:443/v1/files/wlx3px3j3ui53-RO/image;s=1000x877,N/A,automatic,Coupe,BMW,i8,olx_juekF,2025-09-08T12:41:55.995659
Bmw Seria 3 320 M Editions,27 000 €,27000.0,2020,130 000,N/A,https://www.olx.ro/d/oferta/bmw-seria-3-320-m-editions-IDjGRC9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/uxhg3gwcgw3v1-RO/image;s=2110x1582;https://frankfurt.apollo.olxcdn.com:443/v1/files/wxtmzjyngtom1-RO/image;s=2110x1582;https://frankfurt.apollo.olxcdn.com:443/v1/files/6i4ab35pew2t1-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/fg70bzdo7n383-RO/image;s=1582x2110;https://frankfurt.apollo.olxcdn.com:443/v1/files/o7nudcq3cvqg3-RO/image;s=3024x4032,diesel,automatic,Berlina,BMW,Seria 3,olx_jGRC9,2025-09-08T12:41:58.904944
Bmw G20 320D Shadowline Distronic Trapa Laser Hk Full M,29 799 €,29799.0,2019,136 154,N/A,https://www.olx.ro/d/oferta/bmw-g20-320d-shadowline-distronic-trapa-laser-hk-full-m-IDjKs2c.html,,diesel,automatic,Berlina,BMW,Unknown,olx_jKs2c,2025-09-08T12:42:02.360163
Bmw Seria 5 G30,21 500 €,21500.0,2018,91 100,N/A,https://www.olx.ro/d/oferta/bmw-seria-5-g30-IDjpVxa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ouvri21y44611-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pyh3mwr7kubh2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j8b47mk2djgs3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/o29dv5gkpjbe1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/bfjudgpab7et1-RO/image;s=1000x750,diesel,automatic,Berlina,BMW,Seria 5,olx_jpVxa,2025-09-08T12:42:05.482158
