titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q7 Quattro Tfsi 2017,"32 000 €
Prețul e negociabil",32000.0,2017,148 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-q7-quattro-tfsi-2017-IDjK0AE.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/m22z25tdq5k6-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/ftvjsozx2xg32-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/mv2bk5r5htra3-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/vkcmmj0sgpyn1-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/093ep5kiddyf-RO/image;s=3024x4032,petrol,automatic,SUV,Audi,Q7,olx_jK0AE,2025-09-11T19:54:13.574334
Audi A8 Long,50 000 €,50000.0,2021,76 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-a8-long-IDjItqa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/9nn9r6io4eck-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/01q4ybuzb0p22-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6zwqq0gsw5mp-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/3bkcb2z6rgpx-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/55w5tl5rwz331-RO/image;s=1000x750,hybrid,automatic,Berlina,Audi,A8,olx_jItqa,2025-09-11T19:54:17.248423
Audi Q5 2017 2 0 Tfsi,"25 000 €
Prețul e negociabil",25000.0,2017,140 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-q5-2017-2-0-tfsi-IDjJ2F5.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/k5xace73bu5h2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mluqke5cbb0y-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n9q1hz7g6ete2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yw9v6atrq8n-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/bsnvjcyxp6pt3-RO/image;s=750x1000,petrol,automatic,SUV,Audi,Q5,olx_jJ2F5,2025-09-11T19:55:36.307416
Audi A6 40Tdi Mild Hybrid 204Cp S Tronic,"27 390 €
Prețul e negociabil",27390.0,2020,93 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-a6-40tdi-mild-hybrid-204cp-s-tronic-IDjLRPT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2mu80w6o209e2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/o1n1p94qu4ls-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/64mdgfoo4kwq-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/sxlvsr8xs4g11-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/qy2cjd3x85qb2-RO/image;s=1024x768,diesel,automatic,Berlina,Audi,A6,olx_jLRPT,2025-09-11T19:56:24.690437
Audi A6 Competition,"24 900 €
Prețul e negociabil",24900.0,2018,184 210,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-a6-competition-IDjN5DB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/384n5s0k34st2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/gzx0h9d2lqju3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/ovbzs8zsouja-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/moggzuqvsetm2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/ogb06816piw01-RO/image;s=1500x2000,diesel,automatic,Berlina,Audi,A6,olx_jN5DB,2025-09-11T19:56:36.656956
Audi A5 Sportback 40 Tfsi Quattro S Tronic,37 999 €,37999.0,2023,34 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/audi-a5-sportback-40-tfsi-quattro-s-tronic-IDjMPlH.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/idjbn38r928b1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/nhp26grnjn6h-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/zls6wc4eg7mr1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/as0r9wp560bc-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/inl5kbywb67j-RO/image;s=1000x750,petrol,automatic,Hatchback,Audi,A5,olx_jMPlH,2025-09-11T19:56:47.344542
Bmw Seria 6 F06 2017,"27 000 €
Prețul e negociabil",27000.0,2017,143 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/bmw-seria-6-f06-2017-IDjNskQ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/mdn7gqsh0noz2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/jmvxl7wy7oxo3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vp1743s5pc2a-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/7lewe9d6fj7m1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/68fzkq0286b71-RO/image;s=1000x750,petrol,automatic,Berlina,BMW,Seria 6,olx_jNskQ,2025-09-11T19:57:31.198519
Bmw M2 M240I 2024 G42 Primul Proprietar Garantie 2029 200K Km,"53 000 €
Prețul e negociabil",53000.0,2024,,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/bmw-m2-m240i-2024-g42-primul-proprietar-garantie-2029-200k-km-IDjBBdO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2iorp61vtmgi-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/2xotrvnm6uih2-RO/image;s=6796x4531;https://frankfurt.apollo.olxcdn.com:443/v1/files/eq1nekuqutwa3-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/j24h02uigxum3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/afzovn8gojyv1-RO/image;s=4032x3024,petrol,N/A,Coupe,BMW,M2,olx_jBBdO,2025-09-11T19:57:50.788664
Bmw X6M 575 Cai,"33 000 €
Prețul e negociabil",33000.0,2017,179 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/bmw-x6m-575-cai-IDiyd6g.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/f8nhjyeqgc053-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/tmb7eeib1gjx-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/mm3yolxcaono3-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/68a1gfw4h19f3-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/0dukoaekcoyz1-RO/image;s=890x650,petrol,automatic,SUV,BMW,X6,olx_iyd6g,2025-09-11T19:58:20.780516
2020 Bmw X5 M50D,48 400 €,48400.0,2020,115 000,Mai multe anunțuri ale acestui vânzător,https://www.olx.ro/d/oferta/2020-bmw-x5-m50d-IDjKGHK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kofgu72fkkmp3-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/scncyklsx2s21-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/idgij0hvm7x6-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9kvmxkhy02rr1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kubhh6wqxvba1-RO/image;s=750x1000,diesel,automatic,SUV,BMW,M5,olx_jKGHK,2025-09-11T19:58:56.953436
